ID,Title,Excerpt,Date,Tags,expost_source_url,dsq_thread_id,"Author Username",Slug,"Comment Status","Ping Status","Post Modified Date",Status,"Author ID"
14,"How To Do What You Want: Akrasia and Self-Binding",,2011-01-24,"akrasia|bee-all|best-of|commitment devices|FAQ|psychology|rationality|science|self-binding",https://padm.us/beemblog-akrasia/export/txt,254870823,dreeves,akrasia,closed,closed,2020-11-29,publish,3
130,"Weight Loss: Really Easy, Really Hard",,2011-02-02,"food|tips|weight loss",https://padm.us/beemblog-easyhard/export/txt,254870799,melza,easyhard,open,open,2014-03-15,publish,2
156,"Making Change Happen",,2100-02-12,"motivation|psychology|weight loss",https://padm.us/beemblog-change/export/txt,265339363,melza,change,open,open,2016-04-20,pending,2
165,"No Preemptive Eating",,2011-02-20,"food|tips|weight loss",https://padm.us/beemblog-preeat/export/txt,254870820,dreeves,preeat,open,open,2011-10-16,publish,3
166,"Food Habits",,2011-03-01,"food|guest posts|science|tips|weight loss",https://padm.us/foodrules/export/txt,254870841,kmcgowan,foodhabits,open,open,2018-02-02,publish,48
170,"Little Debbie Does Dog Food",,2011-03-10,"akrasia|bee-all|dog food|junk food|pica",https://padm.us/lildeb/export/txt,254870829,dreeves,lildeb,open,open,2013-05-04,publish,3
174,"To Buy or Not To Buy a Gym Membership",,2011-03-22,"akrasia|bee-all|fitness|guest posts|self-binding",https://padm.us/gym/export/txt,259733346,jill,gym,open,open,2021-06-04,publish,24
177,"Productivity Hack: The Sedimentary Filing System",,2011-04-01,"akrasia|bee-all|delayed commitment|lifehacks|productivity porn|rationality|science|tips",https://padm.us/sediment/export/txt,267906445,dreeves,sediment,open,open,2013-05-08,publish,3
180,"Case Study: Martin's Renovating",,2011-04-10,"akrasia|bee-all|case studies|self-binding",https://padm.us/martin/export/txt,275758241,dreeves,martin,open,open,2013-05-04,publish,3
184,"What Happens When You Don't Report Your Weight; or, Driving Blind",,2011-04-19,"bee-all|case studies|integrations|science|tips|weight loss|withings",https://padm.us/beemblog-michelle/export/txt,282988627,dreeves,blind,open,open,2016-03-18,publish,3
188,"Beeminder on Rails",,2011-04-29,"bee-all|dog food|meta|navel-gazing|nerdery|rails|twitter",https://padm.us/beemblog-rails/export/txt,291043558,dreeves,rails,open,open,2013-05-04,publish,3
192,"Unintended Consequences",,2011-05-23,akrasia|bee-all|best-of|economics|rationality|science|self-binding,https://padm.us/unintended/export/txt,311094736,dreeves,unintended,open,open,2015-05-05,publish,3
195,"Akratics Anonymous",,2011-06-01,"akrasia|bee-all|FAQ|mailing list|rationality|science|soup nazi",https://padm.us/akranon/export/txt,319113220,dreeves,akratics,open,open,2022-04-29,publish,3
197,"TimeCarrot = StickK + RescueTime",,2011-06-10,akrasia|bee-all|competition|self-binding|tagtime,https://padm.us/timecarrot/export/txt,,dreeves,timecarrot,closed,closed,2013-09-04,publish,3
200,"BMNDR vs StickK",,2011-06-16,"bee-all|competition|guest posts|self-binding|stickk|weight loss",https://padm.us/joshstickk/export/txt,333603477,guest,stickk,open,open,2013-05-04,publish,8
205,"Summer Solstice PSA",,2011-06-28,PSA|tips,https://padm.us/solstice/export/txt,344717181,dreeves,solstice,open,open,2011-06-28,publish,3
207,"Force Majeure, Or Beeminder's SOS Clause",,2011-07-01,"akrasia|bee-all|commitment|commitment contracts|commitment devices|economics|FAQ|force majeure|science|sos|soup nazi",https://padm.us/sos/export/txt,347409074,dreeves,sos,open,open,2015-11-27,publish,3
209,"The Magical Widening Yellow Brick Road",,2011-07-10,navel-gazing,https://padm.us/roadwidth/export/txt,354767505,dreeves,roadwidth,open,open,2020-02-04,publish,3
212,"Backfiring Workouts","Here’s a question from a user: “Sometimes it seems like a hard workout makes me gain weight. My question is: WTF?” Melanie, Beeminder’s resident fitness expert, has an answer: Temporary weight gain for a day or two after a hard workout is common. Your body is storing glucose — quick energy",2011-07-27,"biochemistry|fitness|tips|weight loss|yellow brick road",https://padm.us/backfiring/export/txt,369597162,dreeves,backfiring,open,open,2014-03-15,publish,3
218,"The Road Dial and the Akrasia Horizon",,2011-09-01,"akrasia|akrasia horizon|bee-all|FAQ|force majeure|new features|rationality|road dial|science|self-binding|yellow brick road",https://padm.us/ahorizon/export/txt,401516206,dreeves,dial,open,open,2018-07-30,publish,3
222,"The Name ""Beeminder""",,2011-09-17,bee-all|FAQ|kibotzer|meta|naming|navel-gazing|nominology|onomastics,https://padm.us/beenamer/export/txt,416958808,dreeves,beenamer,open,open,2020-10-06,publish,3
